,Emotion,processed_message
6982,sadness,slight disturb whol thing slightly disturb whole thing
6983,joy,rich rich
6984,joy,pract pres liv cont apprecy relax satisfy practice present live content appreciative relax satisfy
6985,joy,might push littl hard sometim bet on els might push little hard sometimes better one else
6986,fear,hesit uns doubt hesitant unsure doubtful
6987,joy,proud illino littl ahead proud illinois little ahead
6988,joy,gen person giv qual tim mak peopl spec generous person give quality time make people special
6989,joy,pass test two tim round il much bet main exam may next year pass test two time round ill much better main exams may next year
6990,joy,much thank much thankful
6991,sadness,horrend ug day horrendously ugly days
6992,joy,lik guest lik stay eleg pristin bout hotel guests stay elegant pristine boutique hotel
6993,joy,want blog simil many oth may occas post pict someth accompl someth proud want blog similar many others may occasionally post picture something accomplishment something proud
6994,sadness,apprecy conveny peac mind program afford young struggling famy lik abus end appreciate convenience peace mind program afford young struggle families abuse end
6995,joy,decid want go school mortu sci ok ok know play dead peopl morbid let us fac someth deal on day though intellig enough wel compas greiv famy decide want go school mortuary science ok ok know play dead people morbid let us face something deal one day though intelligent enough well compasionate greiving families
6996,joy,ord success lif nee educ order successful life need education
6997,surprise,littl overwhelm little overwhelm
6998,joy,decid wheth go low hung low slung fre leav pref com aw mov dea embalm decide whether go low hang low sling free leave preference comment aware move death embalm
6999,joy,stil optim point still optimistic point
7000,surprise,not jump anyth hair say surpr notice jump anything hair say surprise
7001,fear,know kind funny hesit mak fash someth us scent cloth worry bit know kind funny hesitant make fashion something use scent clothe worry bite
7002,joy,would thought id way amaz glad hap would think id way amaze glad happen
7003,joy,walk around farm alway peac end smil she beauty right everyth walk around farm always peaceful end smile sheer beauty rightness everything
7004,fear,sery stil insec dread new guy would sud pop back chang thing seriously still insecure dreadful new guy would suddenly pop back change things
7005,joy,lik pass someth okay voc wel passionate something okay vocal well
7006,joy,cauty optim dragon ag mbourgon honest ye flaw cautiously optimistic dragon age mbourgon honestly yes flaw
7007,surprise,think many may dislik stil impress educ privileg may suscept mass med larg publ certain easy reach think many may dislike still impress educate privilege may susceptible mass media larger public certainly easier reach
7008,sadness,anoth dumb charact deserv get kil another dumb character deserve get kill
7009,sadness,gre famy miss gre deal elect meet great family miss great deal elect meet
7010,love,support team trad mus chair man rot prop man support team trade musical chair management rotation proper manager
7011,joy,cont content
7012,anger,bet almost us though lif ev kind cal jeal bet almost us though life ever kind call jealous
7013,anger,dissatisfy dissatisfy
7014,fear,stil cramp plu get real dizzy stand whol body ach gen extrem uncomfort still cramp plus get really dizzy stand whole body ache generally extremely uncomfortable
7015,joy,lov get dress glam year love get dress glamorous year
7016,sadness,caretak mod disillud comput caretaker mode disillusion computer
7017,sadness,crappy run mak crappy crappy run make crappy
7018,love,nostalg celebr nostalgic celebratory
7019,joy,know gon try decrib went hum poss know gona try decribe go humorous possibly
7020,sadness,seem prob bit def seem probably bite defeat
7021,joy,hat lik strong hate strong
7022,joy,eag begin excit prospect person grow deep rel christ expect see cours next day eager begin excite prospect personal growth deepen relationship christ expect see course next days
7023,surprise,suff eat disord depress sint amaz say consid recov suffer eat disorder depression since amaze say consider recover
7024,joy,cont lik put word content put word
7025,sadness,wok crappy headach sor throat congest emot calm wake crappy headache sore throat congestion emotionally calm
7026,sadness,told stupid talk yel would unlov tell stupid talk yell would unloved
7027,joy,lik peopl alway say rich il get record deal il happy fuck people always say rich ill get record deal ill happy fuck
7028,sadness,guar monday half dul prep ench sunday fil good food big smil simpl pleas guarantee mondays half dull prepare enchant sunday fill good food big smile simple pleasures
7029,sadness,among thing on day got low among things one days get low
7030,sadness,melancho day melancholy day
7031,sadness,fin admit sorry ev ok fin admit sorry bc finally admit sorry evar ok finally admit sorry bc
7032,anger,bit toward god bitter towards god
7033,love,heartb desir long cor cor cent tot togeth heartbeat desire long core core center totally together
7034,sadness,attend fre individ academ consult help man tim efficy fit classwork act soc lif on day without complet stressed attend free individual academic consultation help manage time efficiently fit classwork activities social life one day without completely stress
7035,joy,buy glam dress might lik glam person dittm explain buy glamorous dress might glamorous person dittmar explain
7036,joy,think wom ev gen busy dying lov think woman ever generous busy die love
7037,joy,littl convint little convince
7038,joy,pretty cont instruct assist high level math help pretty content instructor assist higher level math helpful
7039,anger,self day wel want left alon misery selfish days well want leave alone misery
7040,love,smil grandmoth pres sweet brit acc smile grandmothers presence sweet british accent
7041,sadness,kind bad kind bad
7042,fear,distress distress
7043,love,ear person say affect earth person say affectionate
7044,love,hot drank cold drink find ic dessert chendol ic kacang hot drink cold drink find ice dessert chendol ice kacang
7045,joy,on pass tens one passionate tense
